label,subject_id,nii_file_path
9,MNIST_16981,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_16981_label_9.nii
4,MNIST_03697,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_3697_label_4.nii
5,MNIST_53050,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_53050_label_5.nii
3,MNIST_37166,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_37166_label_3.nii
6,MNIST_57218,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_57218_label_6.nii
2,MNIST_40044,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_40044_label_2.nii
6,MNIST_15641,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_15641_label_6.nii
0,MNIST_26308,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_26308_label_0.nii
3,MNIST_38283,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_38283_label_3.nii
7,MNIST_07352,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_7352_label_7.nii
1,MNIST_07951,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_7951_label_1.nii
9,MNIST_29857,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_29857_label_9.nii
4,MNIST_38370,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_38370_label_4.nii
9,MNIST_27815,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_27815_label_9.nii
6,MNIST_54851,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_54851_label_6.nii
4,MNIST_00661,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_661_label_4.nii
4,MNIST_14349,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_14349_label_4.nii
3,MNIST_38086,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_38086_label_3.nii
0,MNIST_47042,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_47042_label_0.nii
6,MNIST_32002,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_32002_label_6.nii
6,MNIST_37230,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_37230_label_6.nii
8,MNIST_09640,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_9640_label_8.nii
9,MNIST_24496,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_24496_label_9.nii
5,MNIST_32001,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_32001_label_5.nii
7,MNIST_36925,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_36925_label_7.nii
4,MNIST_27882,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_27882_label_4.nii
4,MNIST_25073,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_25073_label_4.nii
2,MNIST_44362,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_44362_label_2.nii
5,MNIST_19436,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_19436_label_5.nii
4,MNIST_48514,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_48514_label_4.nii
3,MNIST_12901,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_12901_label_3.nii
4,MNIST_41574,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_41574_label_4.nii
4,MNIST_20169,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_20169_label_4.nii
2,MNIST_00375,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_375_label_2.nii
5,MNIST_33216,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_33216_label_5.nii
0,MNIST_45695,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_45695_label_0.nii
6,MNIST_19624,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_19624_label_6.nii
1,MNIST_26133,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_26133_label_1.nii
4,MNIST_13943,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_13943_label_4.nii
1,MNIST_34542,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_34542_label_1.nii
5,MNIST_59492,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_59492_label_5.nii
2,MNIST_33203,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_33203_label_2.nii
4,MNIST_47814,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_47814_label_4.nii
0,MNIST_30438,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_30438_label_0.nii
4,MNIST_42263,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_42263_label_4.nii
5,MNIST_59701,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_59701_label_5.nii
6,MNIST_04857,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_4857_label_6.nii
3,MNIST_30423,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_30423_label_3.nii
0,MNIST_04849,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_4849_label_0.nii
2,MNIST_47012,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_47012_label_2.nii
0,MNIST_52323,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_52323_label_0.nii
8,MNIST_00295,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_295_label_8.nii
6,MNIST_39767,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_39767_label_6.nii
9,MNIST_45785,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_45785_label_9.nii
3,MNIST_24943,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_24943_label_3.nii
8,MNIST_16897,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_16897_label_8.nii
3,MNIST_18426,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_18426_label_3.nii
6,MNIST_12155,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_12155_label_6.nii
5,MNIST_09770,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_9770_label_5.nii
2,MNIST_40160,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_40160_label_2.nii
1,MNIST_04810,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_4810_label_1.nii
4,MNIST_20932,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_20932_label_4.nii
3,MNIST_24597,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_24597_label_3.nii
4,MNIST_17573,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_17573_label_4.nii
3,MNIST_14789,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_14789_label_3.nii
6,MNIST_22702,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_22702_label_6.nii
8,MNIST_18205,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_18205_label_8.nii
7,MNIST_34516,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_34516_label_7.nii
3,MNIST_05660,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_5660_label_3.nii
8,MNIST_41133,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_41133_label_8.nii
2,MNIST_23561,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_23561_label_2.nii
2,MNIST_26800,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_26800_label_2.nii
2,MNIST_04997,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_4997_label_2.nii
1,MNIST_36811,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_36811_label_1.nii
2,MNIST_25548,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_25548_label_2.nii
6,MNIST_01435,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_1435_label_6.nii
0,MNIST_54715,/gpfs/data/sodicksonlab/gozde/mnist3d/nii_volumes/volume_54715_label_0.nii
